Designator,Footprint,Quantity,Value,LCSC Part #
C1,VR,1,5-30pf,
"C10, C11, C12, C13, C14, C15, C16, C19, C28, C3, C37, C46, C54, C56, C59, C61, C63, C69",cap_tantalum_pos,18,10uF 25V,
"C17, C18, C5, C55, C57, C6, C60, C62, C64, C65, C66, C67, C70, C8",cap_unipolar,14,0.047uF,
"C2, C4, C7, C9",cap_unipolar,4,47pF,
C20,cap_unipolar,1,100nF,
"C58, C68",cap_tantalum_neg,2,10uF 25V,
CR1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D16,LED_D3.0mm_Clear,1,ON,
D17,LED_D3.0mm_Clear,1,TURBO,
D18,LED_D3.0mm_Clear,1,IRQ1,
D19,LED_D3.0mm_Clear,1,AEN,
D21,LED_D3.0mm_Clear,1,PPI,
D22,LED_D3.0mm_Clear,1,INTR,
D23,LED_D3.0mm_Clear,1,T/C,
D24,LED_D3.0mm_Clear,1,DMA,
D25,LED_D3.0mm_Clear,1,RAM,
D26,LED_D3.0mm_Clear,1,ROM,
D27,LED_D3.0mm_Clear,1,MEMR,
D28,LED_D3.0mm_Clear,1,MEMW,
D29,LED_D3.0mm_Clear,1,IOR,
D30,LED_D3.0mm_Clear,1,IOW,
E1,PinHeader_2x01_P2.54mm_Vertical,1,ROM E/D,
F1,PinHeader_2x01_P2.54mm_Vertical,1,F1,
"F2, F3",PinHeader_2x01_P2.54mm_Vertical,2,F3,
"H1, H2, H3, H5, H6, H8, H9",HOLE,7,HOLE1,
"J1, J2, J3, J4, J5, J6",isa_edge_slot,6,ISA Bus connector,
J10,AT_power_connector,1,AT POWER CONNECTOR,
J9,Keyboard,1,KEYBOARD,
P3,PinHeader_1x04_P2.54mm_Vertical,1,SPEAKER,
PB1,PinHeader_1x03_P2.54mm_Vertical,1,RESET,
Q2,TO-92_Inline,1,2N3904,
"R1, R2",resistor,2,510,
R14,resistor,1,4.7K,
R3,resistor,1,100K,
R4,resistor,1,10R,
R6,resistor,1,33R,
"R7, R8, R9",resistor,3,27R,
"RN1, RN2, RN3, RN4",R_Array_SIP9,4,4.7K,
RN6,R_Array_SIP9,1,8.2K,
"RN7, RN8",R_Array_SIP9,2,510R,
SB1,PinHeader_2x02_P2.54mm_Vertical,1,JP6     JP7,
SW1,DIP_SWITCH,1,DIP_SWITCH,
TB1,PinHeader_2x01_P2.54mm_Vertical,1,JP5 TURBO SW,
U1,DIP-18_W7.62mm,1,8284A,
U10,DIP-16_W7.62mm,1,LS670_U10,
"U101, U99",DIP-32_W15.24mm,2,AS6C4008-55PCN,
U102,DIP-32_W15.24mm_Socket_LongPads,1,HM628128_DIP32_SOP32,
"U11, U5, U7",DIP-20_W7.62mm,3,LS373,
"U12, U14, U16, U17, U41, U6",DIP-20_W7.62mm,6,LS244,
"U15, U2, U32, U9",DIP-20_W7.62mm,4,LS245,
"U18, U19",DIP-28_W15.24mm,2,27C256 (32KX8),
U20,DIP-20_W7.62mm,1,ATF16V8Bxx-xxPU,
U21,DIP-16_W7.62mm_Socket,1,74LS175,
U23,DIP-14_W7.62mm,1,LS27_U23,
U24,DIP-14_W7.62mm,1,LS00_U24 (74S),
U25,DIP-28_W15.24mm,1,8259A,
U26,DIP-24_W15.24mm,1,8253-5,
U27,DIP-20_W7.62mm,1,LS322_U27,
U28,DIP-40_W15.24mm,1,8237A-5_U28,
U29,DIP-40_W15.24mm,1,8255A-5,
U3,DIP-40_W15.24mm,1,8088,
U4,DIP-40_W15.24mm_Socket,1,8087,
"U43, U45",DIP-16_W7.62mm,2,LS138,
U57,DIP-14_W7.62mm,1,LS20_U57,
U58,DIP-14_W7.62mm,1,LS32_U58,
U68,DIP-14_W7.62mm,1,7407_U68,
U69,DIP-14_W7.62mm,1,LS00_U85(t),
U70,DIP-14_W7.62mm,1,74S74N (74S),
U71,DIP-14_W7.62mm,1,LS04_U71,
U72,DIP-14_W7.62mm,1,LS10_U72,
"U73, U86",DIP-14_W7.62mm,2,74LS74AN,
U74,DIP-14_W7.62mm,1,LS00_U74 (sU99),
U8,DIP-20_W7.62mm,1,8288,
U87,DIP-14_W7.62mm,1,S08_U87 (74S),
U88,DIP-16_W7.62mm,1,LS175 (74S),
U89,DIP-14_W7.62mm,1,LS04,
U91,DIP-14_W7.62mm,1,74LS92,
U93,DIP-14_W7.62mm,1,74LS74 (74S),
U94,DIP-14_W7.62mm,1,74LS74,
U95,DIP-14_W7.62mm,1,74LS02 (74S),
U96,DIP-14_W7.62mm,1,74LS51 (74S),
U97,DIP-14_W7.62mm,1,74LS04,
Y1,Crystal_HC49-U_Horizontal,1,14.31818MHz,
Y4,Oscillator_DIP-14,1,CXO_DIP14,
