Designator,Mid X,Mid Y,Rotation,Layer
C1,77.3758,-124.2104,180.0,top
C10,213.96,-139.0,0.0,top
C11,161.1958,-205.2364,0.0,top
C12,161.145,-185.018,0.0,top
C13,161.0434,-164.6218,0.0,top
C14,160.891,-144.3526,0.0,top
C15,295.12,-95.0,0.0,top
C16,207.46,-229.0,0.0,top
C17,290.5,-203.96,90.0,top
C18,290.0,-227.74,90.0,top
C19,230.5,-228.46,90.0,top
C2,83.421,-144.5558,90.0,top
C20,363.0,-128.0,90.0,top
C28,257.0,-58.96,90.0,top
C3,77.96,-81.5,0.0,top
C37,305.46,-56.0,180.0,top
C4,66.276,-70.972,270.0,top
C46,361.5,-234.46,90.0,top
C5,81.6684,-70.972,270.0,top
C54,257.5,-44.46,90.0,top
C55,86.96,-163.5,0.0,top
C56,65.0,-118.04,90.0,top
C57,140.06,-30.05,0.0,top
C58,140.0,-40.0,0.0,top
C59,143.0,-60.5,0.0,top
C6,81.8716,-59.5674,90.0,top
C60,290.5,-135.46,270.0,top
C61,311.5,-96.96,90.0,top
C62,311.5,-81.96,270.0,top
C63,363.5,-44.46,270.0,top
C64,291.0,-180.46,90.0,top
C65,292.5,-56.0,0.0,top
C66,84.0,-205.5,90.0,top
C67,76.0296,-230.865,0.0,top
C68,66.5,-232.46,90.0,top
C69,77.94,-137.05,0.0,top
C7,81.8716,-49.2804,90.0,top
C70,291.0,-156.5,270.0,top
C8,81.8462,-40.5682,90.0,top
C9,68.7144,-37.952,180.0,top
CR1,75.31,-115.5,0.0,top
D16,342.5,-107.5,90.0,top
D17,351.0,-83.55,90.0,top
D18,342.5,-101.78,90.0,top
D19,351.0,-101.82,90.0,top
D21,351.0,-107.5,90.0,top
D22,342.49,-77.77,90.0,top
D23,351.0,-77.66,90.0,top
D24,342.5,-95.89,90.0,top
D25,351.0,-95.93,90.0,top
D26,342.5,-83.77,90.0,top
D27,342.49,-71.88,90.0,top
D28,351.0,-71.77,90.0,top
D29,342.5,-90.0,90.0,top
D30,351.0,-90.04,90.0,top
E1,66.1744,-80.9542,90.0,top
F1,238.85,-216.73,90.0,top
F2,246.5,-216.73,90.0,top
F3,253.5,-216.73,90.0,top
H1,71.6862,-29.9002,0.0,top
H2,71.6862,-146.7402,0.0,top
H3,71.6862,-222.9402,0.0,top
H5,214.5612,-146.7402,0.0,top
H6,214.5612,-222.9402,0.0,top
H7,361.8812,-29.9002,0.0,top
H8,361.8812,-146.7402,0.0,top
H9,361.8812,-222.9402,0.0,top
J1,125.4326,-235.9341,0.0,top
J10,108.8826,-29.2463,0.0,top
J2,125.4326,-215.6069,0.0,top
J3,125.4326,-195.2796,0.0,top
J4,125.4326,-174.9523,0.0,top
J5,125.4326,-154.6251,0.0,top
J6,125.4326,-134.2978,0.0,top
J9,70.346,-53.0104,90.0,top
P3,361.4,-210.74,180.0,top
PB1,72.4,-70.55,0.0,top
Q2,358.5,-160.23,90.0,top
R1,72.8546,-95.5338,180.0,top
R14,297.5,-102.0,0.0,top
R2,72.88,-89.8188,180.0,top
R3,67.5,-134.62,90.0,top
R4,362.0,-191.88,270.0,top
R6,362.0,-172.5,90.0,top
R7,66.0,-160.5,270.0,top
R8,80.5,-186.88,270.0,top
R9,73.5,-160.5,270.0,top
RN1,160.84,-34.5,0.0,top
RN2,185.67,-131.31,0.0,top
RN3,125.66,-115.5,0.0,top
RN4,185.71,-137.31,0.0,top
RN6,160.84,-28.0,0.0,top
RN7,345.34,-37.0,0.0,top
RN8,345.16,-30.5,0.0,top
SB1,339.23,-45.73,90.0,top
SW1,161.11,-56.69,90.0,top
TB1,363.0,-119.23,90.0,top
U1,71.31,-183.34,0.0,top
U10,237.11,-73.43,90.0,top
U101,315.97,-180.12,90.0,top
U102,315.91,-227.38,90.0,top
U11,207.57,-89.81,90.0,top
U12,208.07,-73.43,90.0,top
U14,187.12,-175.0,90.0,top
U15,250.07,-189.19,90.0,top
U16,187.66,-206.0,90.0,top
U17,187.12,-191.0,90.0,top
